,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish,Vietnamese,
10,Happy Birthday to You,Happy Birthday to You,عيد ميلاد سعيد,祝你生日快乐,祝你生日快樂,Gefeliciteerd,Happy Birthday To You,Hyvää SyntymäPäIvää Sinulle,Joyeux Anniversaire À Toi,Happy Birthday to You,आपको जन्मदिन की शुभकामनाएँ,Selamat Ulang Tahun,Buon Compleanno,생일 축하합니다,お誕生日のうた,Selamat Hari Lahir Kepada Anda,Gratulerer Med Dagen,Wszystkiego Najlepszego Z Okazji Urodzin,Feliz AniversáRio,Feliz AniversáRio,С днём рождения,Feliz Cumpleaños,Grattis På FöDelsedagen,สุขสันต์วันเกิด,DoğUm GüNüN Kutlu Olsun,ChúC MừNg Sinh NhậT,
11,Heidenroslein,Heidenroslein,روز البرية,野玫瑰,野玫瑰,Heidenroslein,Heidenroslein,Heidenroslein,Heidenroslein,Heideröslein,हेयडेनरोसलिन,Heidenroslein,Heidenroslein,들장미,野ばら,Heidenroslein,Heidenrolein,Heidenroslein,Heidenroslein,Heidenroslein,Дикая роза,Heidenroslein,Heidenroslein,Heidenroslein,Heidenroslein,Heidenroslein,
12,The Painter,The Painter,الرسام,粉刷匠,粉刷匠,De Schilder,The Painter,Maalari,Le Peintre,The Painter,पेंटर,Tukang Cat,Il Pittore,화가,ペインター,Pelukis,Maleren,Malarz,O Pintor,O Pintor,Художник,El Pintor,MåLaren,จิตรกร,Ressam,HọA Sĩ,
13,Nocturne Op.9 No.2,Nocturne Op.9 No.2,نوكتيورن No.2 Op.9,降E大调夜曲,降E大調夜曲,Nocturne Op.9 Nr. 2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 Nr.2,Nocturne op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 N. 2,녹턴 Op.9 No.2,夜想曲 Op.9-2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 Nr 2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,НоктюрнOp.9 №2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,
14,The Ruins of Athens No.4,The Ruins of Athens No.4,أطلال أثينا No.4,雅典的废墟No.4,雅典的廢墟No.4,De RuïNes Van Athene Nr. 4,The Ruins Of Athens No.4,Ateenan Rauniot Nro 4,Les Ruines D'Athènes N ° 4,Die Ruinen von Athen Nr.4,एथेंस नंबर 4 के खंडहर,Reruntuhan Athena No.4,Le Rovine Di Atene N. 4,아테네의 폐허,トルコ行進曲,Runtuhan Athens No.4,Ruinene Av Athen No.4,Ruiny Ateny Nr 4,As RuíNas De Atenas No.4,As RuíNas De Atenas No.4,Афинские развалины №4,Las Ruinas de Atenas No.4,Ruinerna Av Aten Nr 4,ซากปรักหักพังของเอเธนส์หมายเลข 4,Atina No.4 KalıNtıLarı,TàN TíCh CủA Athens Số 4,
15,Waltz in A minor,Waltz in a Minor,فالس في سلم لا الصغير,A小调圆舞曲,A小調圓舞曲,Wals In Een Minderjarige,Waltz In A Minor,Valssi AlaikäIsellä,Valse Dans Un Mineur,Waltz in a Minor,एक नाबालिग में वाल्ट्ज,Waltz Di Bawah Umur,Valzer in Un Minore,왈츠 가단조,ワルツ イ短調,Waltz Dalam Minor,Vals I En MindreåRig,Waltz W Nieletnim,Valsa Em Um Menor,Valsa Em Um Menor,Вальс ля минор,Vals en un Menor,Vals I En MindreåRig,วอลทซ์ในผู้เยาว์,Bir KüçüK Vals,Waltz Trong Trẻ Vị ThàNh NiêN,
16,Gavotte,Gavotte,رقصة الغافوتية,加沃特舞曲,加沃特舞曲,Gavotte,Gavotte,Gavotte,Gavotte,Gavotte,गवोटे,Gavotte,Gavotta,가보트,ガヴォット,Gavotte,Gavotte,Gawot,Gavota,Gavota,Гавот,Gavota,Gavott,Gavotte,Gavot Dansı,Gavotte,
17,Por Una Cabeza,Por Una Cabeza,بور أونا كابيزا,一步之遥,一步之遙,Por Una Cabeza,Por Una Cabeza,Por Una Cabeza,Por Una Cabeza,Por una Cabeza,पोर ऊना कैबेजा,Por Una Cabeza,Por Una Cabeza,간발의 차이,ポル・ウナ・カベーサ,Por Una Cabeza,Por Una Cabeza,Por Una Cabeza,Por Una Cabeza,Por Una Cabeza,Пор Уна Кабеса,Por una Cabeza,Por Una Cabeza,Por Una Cabeza,Por Una Cabeza,Por Una Cabeza,
18,Moments Musicaux,Moments Musicaux,لحظات الموسيقى,音乐瞬间,音樂瞬間,Momenten Musicaux,Moments Musicaux,Moments Musicaux,Moments Musicaux,Moments Musicaux,मोमेंट्स म्यूजिकॉक्स,Momen Musicaux,Momenti Musicaux,악흥의 순간,楽興の時,Moments Musicaux,ØYeblikk Musicaux,Chwile Muzykaux,Momentos Musicaux,Momentos Musicaux,Музыка мгновенно,Momentos Musicaux,Moments Musicaux,ช่วงเวลา Musicaux,Anlar Musicaux,KhoảNh KhắC Musicaux,
19,Korobeiniki,Korobeiniki,الباعة المتجولين,卖货郎,賣貨郎,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,The Peddlers,korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,コロブチカ,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,Коробейники,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,
20,Waltz Op.64 No.1,Waltz Op.64 No.1,الفالس No.1 Op.64,小狗圆舞曲,小狗圓舞曲,Waltz Op.64 Nr. 1,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 Nr.1,वाल्ट्ज ओप .64 नंबर 1,Waltz Op.64 No.1,Waltz Op.64 No.1,강아지 왈츠,子犬のワルツ,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 Nr 1,Waltz Op.64 No.1,Waltz Op.64 No.1,Вальс Op.64 №1,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 No.1,
21,Dance of the Sugar Fairy,Dance of the Sugar Fairy,رقصة الجنية السكر,糖果仙子之舞,糖果仙子之舞,Dans Van De Suikerbrook,Dance Of The Sugar Fairy,The Sugar Fairy -Tanssi,Dance Of The Sugar Fairy,Dance of the Sugar Fairy,चीनी परी का नृत्य,Dance Of The Sugar Fairy,Dance of the Sugar Fairy,사탕 요정의 춤,金平糖の精の踊り,Dance Of The Sugar Fairy,Dance Of The Sugar Fairy,Dance Of The Sugar Fairy,DançA Da Fada Do AçúCar,DançA Da Fada Do AçúCar,Танец сахарной феи,Danza del Hada de Azúcar,Dans Of The Sugar Fairy,Dance of the Sugar Fairy,ŞEker Perisinin Dansı,Dance Of The Sugar Fairy,
22,The Swan,The Swan,البجعة,天鹅,天鵝,De Zwaan,The Swan,Joutsen,Le Cygne,Der Schwan,हंस,Angsa,Il Cigno,The Swan,白鳥,Angsa,Svanen,ŁAbąDź,O Cisne,O Cisne,Лебедь,El Cisne,Svanen,หงส์,KuğU,ThiêN Nga,
23,Prelude in C Major No.1,Prelude in C Major No.1,مقدمة في سلم دو الكبير No.1,C大调前奏曲No.1,C大調前奏曲No.1,Prelude In C Major No.1,Prelude In C Major No.1,Prelude C -Majuri Nro 1,Prélude En C Major No.1,Prelude in C-Dur Nr.1,सी प्रमुख नंबर 1 में प्रस्तावना,Prelude In C Mayor No.1,Preludio in C Maggiore N. 1,프렐류드,プレリュード 第1番 ハ長調,Prelude Di C Major No.1,Prelude In C Major No.1,Preludium W C -Maja Nr 1,PrelúDio Em C Major No.1,PrelúDio Em C Major No.1,Прелюдия до мажор №1,Preludio en C Mayor No.1,Prelude I C Major No.1,โหมโรงใน C Major No.1,C Major No.1'De Prelude,Mở đầU Trong C ChíNh Số 1,
24,Tritsch Tratsch Polka,Tritsch Tratsch Polka,رقصة البولكا,闲聊波尔卡,閑聊波爾卡,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch पोल्का,Tritsch Tatsch Polka,Tritsch Tratsch Polka,트리치 트리치 폴카,トリッチ・トラッチ・ポルカ,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tratsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Полька Тритш-Тратш,Tratsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,
25,Cancan,Cancan,كان كان,康康舞曲,康康舞曲,Kan Kan,Cancan,Cancan,Cancan,Cancan,कर सकते हैं,Bisa Bisa,Posso Posso,캉캉,カンカン,Boleh,Kan Kan,MożE MożE,"Pode, Pode","Pode, Pode",Канкан,Cancán,Cancan,สามารถ,Kanser,Cancan,
26,Sonata in D Major K311,Sonata in D Major K311,سوناتا في سلم ري الكبير K311,D大调奏鸣曲K311,D大調奏鳴曲K311,Sonata In D Major K311,Sonata In D Major K311,Sonaatti D Major K311,Sonate En D Major K311,Sonata in D-Dur K311,डी मेजर के 311 में सोनाटा,Sonata Di D Mayor K311,Sonata in D Major K311,Sonata in D Major K311,ピアノソナタ ニ長調 K311,Sonata Di D Major K311,Sonata I D Major K311,Sonata W D Mgier K311,Sonata Em D Major K311,Sonata Em D Major K311,Соната ре мажор K311,Sonata en D Major K311,Sonata I D Major K311,Sonata ใน D Major K311,D Major K311'De Sonata,Sonata Trong D Major K311,
27,Symphony No.40 in g,Symphony No.40 in G,السيمفونية No.40 في سلم صول الصغير,G小调第四十交响曲,G小調第四十交響曲,Symphony No.40 In G,Symphony No.40 In G,Sinfonia Nro 40 G: Ssä,Symphonie N ° 40 En G,Symphonie Nr.40 in G,जी में सिम्फनी नंबर 40,Simfoni No.40 Di G,Sinfonia N. 40 in G,교향곡 40번,交響曲 第40番,Symphony No.40 Dalam G,Symfoni Nr.40 I G,Symfonia Nr 40 W G,Sinfonia No.40 Em G,Sinfonia No.40 Em G,Симфония №40,Symphony No.40 en G,Symfoni Nr.40 I G,Symphony No.40 ใน G,G'De Senfoni No.40,BảN Giao HưởNg Số 40 Trong G,
28,G minor Bach,G Minor Bach,سلم صول الصغير لباخ,G小调巴赫,G小調巴赫,G Minor Bach,G Minor Bach,G Minor Bach,G Mineur Bach,G Minor Bach,जी माइनर बाख,G Bach Minor,G Minore Bach,G minor Bach,フーガ ト短調 バッハ,G Kecil Bach,G Mindre Bach,G Minor Bach,G Minor Bach,G Minor Bach,G минор Бах,G Menor Bach,G Mindre Bach,G เล็กน้อย bach,G MinöR Bach,G Bach Nhỏ,
29,Sonatina Op.36 No.3,Sonatina Op.36 No.3,السوناتينا No.3 Op.36,小奏鸣曲Op.36-3,小奏鳴曲Op.36-3,Sonatina Op.36 Nr. 3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 Nr.3,सोनटिना ओप .36 नंबर 3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,소나티네 Op.36 36번,ソナチネ Op.36-3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op. 36 Nr 3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Сонатина Op.36 №3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 Số 3,
30,Etude Op.299 No.39,Etude Op.299 No.39,القطعة الموسيقية No.39 Op.299,车尔尼Op.299-39,車爾尼Op.299-39,Etude Op.299 No.39,Etude Op.299 No.39,Etude Op.299 No.39,Etude Op.299 N ° 39,Etude Op.299 Nr.39,Etude op.299 No.39,Etude Op.299 No.39,Etude Op.299 N. 39,체르니 연습곡,練習曲 Op.299-39,Etude Op.299 No.39,Etude Op.299 No.39,Etude Op.299 Nr 39,Etude Op.299 No.39,Etude Op.299 No.39,Этюд Op.299 №39,Etude Op.299 No.39,Etude Op.299 No.39,Etude op.299 No.39,Erude Op.299 No.39,Etude Op.299 No.39,
31,Sonata in C Major K545,Sonata in C Major K545,سوناتا في سلم دو الكبيرk545,C大调奏鸣曲K545,C大調奏鳴曲K545,Sonate In C Major K545,Sonata In C Major K545,Sonaatti C Major K545: Ssä,Sonate En C Major K545,Sonata in C-Dur K545,सी मेजर K545 में सोनाटा,Sonata Di C Mayor K545,Sonata in C Maggiore K545,C장조 소나타 K545,ピアノソナタ ハ長調 K.545,Sonata Di C Major K545,Sonata I C Major K545,Sonata W C -Dur K545,Sonata Em C Major K545,Sonata Em C Major K545,Соната до мажор K545,Sonata en C Major K545,Sonata I C Major K545,Sonata ใน C Major K545,C Major K545'Te Sonata,Sonata Trong C ChíNh K545,
32,Csikos Post,Csikos Post,سيكوس بوست,邮递马车,郵遞馬車,Csikos Post,Csikos Post,Csikos Post,Csikos Post,Csikós Post,Csikos Post,Posting Csikos,Csikos Post,크시코스의 우편마차,クシコスポスト,Csikos Post,Csikos Post,Csikos Post,Csikos Post,Csikos Post,Почтовая повозка,Csikos Post,Csikos Post,โพสต์ csikos,Csikos Post,BàI ViếT Csikos,
33,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,يين كلين ناختموسيك,G大调小夜曲No.1,G大調小夜曲No.1,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,ईने क्लेन नचटमुसिक,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,소아곡,アイネ・クライネ・ナハトムジーク,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Серенада соль мажор,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,
34,The Fountain,The Fountain,نافورة,喷泉,噴泉,De Fontein,The Fountain,LäHde,La Fontaine,Der Brunnen,फव्वारा,Air Mancur,La Fontana,분수,ファウンテン,Air Pancut,Fontenen,Fontanna,A Fonte,A Fonte,Фонтан,La Fuente,FontäNen,น้ำพุ,ÇEşMe,ĐàI Phun NướC,
35,Etude Op.10 No.4,Etude Op.10 No.4,القطعة الموسيقية No.4 Op.10,激流练习曲,激流練習曲,Etude Op.10 No.4,Etude Op.10 No.4,Etude Op.10 Nro 4,Etude Op.10 N ° 4,Etude Op.10 Nr.4,Etude op.10 No.4,Etude Op.10 No.4,Etude Op.10 N. 4,추격,エチュード Op.10-4,Etude Op.10 No.4,Etude Op.10 Nr.4,Etude Op.10 Nr 4,Etude Op.10 No.4,Etude Op.10 No.4,Этюд Op.10 №4,Etude Op.10 No.4,Etude Op.10 No.4,Etude op.10 No.4,Erude Op.10 No.4,Etude Op.10 No.4,
36,Gypsy Rondo,Gypsy Rondo,الغجر روندو,吉普赛回旋曲,吉普賽迴旋曲,Gypsy Rondo,Gypsy Rondo,Gypsy Rondo,Gitan Rondo,Gypsy Rondo,जिप्सी रोंडो,Gypsy Rondo,Gypsy Rondo,집시,ジプシー・ロンド,Gypsy Rondo,Gypsy Rondo,Cyganie Rondo,Gypsy Rondo,Gypsy Rondo,Цыганская рапсодия,Rondo Gitano,Zigenare,ยิปซี rondo,ÇIngene Rondo,Gypsy Rondo,
37,Spanish Dances,Spanish Dances,الرقصات الأسبانية,西班牙舞曲,西班牙舞曲,Spaanse Dansen,Spanish Dances,Espanjalainen Tanssit,Danses Espagnols,Spanish Dances,स्पेनिश नृत्य,Tarian Spanyol,Balli Spagnoli,스페인의 춤,スパニッシュダンス,Tarian Sepanyol,Spanske Danser,TańCe HiszpańSkie,DançAs Espanholas,DançAs Espanholas,Испанский Танцы,Bailes Españoles,Spanska Danser,เต้นรำสเปน,İSpanyol Dansları,CáC đIệU NhảY TâY Ban Nha,
38,Prelude in E Major BWV 937,Prelude in E Major BWV 937,Prelude In E Major Bwv 937,E大调小前奏曲,E大調小前奏曲,Prelude In E Major Bwv 937,Prelude In E Major Bwv 937,Prelude In E Major Bwv 937,Prélude Dans E Major Bwv 937,Prelude in E Major Bwv 937,ई प्रमुख BWV 937 में प्रस्तावना,Prelude In E Mayor Bwv 937,Preludio in E Maggiore BWV 937,Prelude in E Major BWV 937,プレリュード ホ長調 BWV937,Prelude Di E Major Bwv 937,Prelude In E Major Bwv 937,Preludium W E Major Bwv 937,PrelúDio Em E Major Bwv 937,PrelúDio Em E Major Bwv 937,Прелюдия ми мажор BWV 937,Preludio en E Major Bwv 937,FöRspel I E Major Bwv 937,โหมโรงใน E Major BWV 937,E Major Bwv 937'De Prelude,Mở đầU Trong E Major Bwv 937,
39,Sonata in A Major K331,Sonata in a Major K331,سوناتا في سلم لا الكبير K331,A大调奏鸣曲K331,A大調奏鳴曲K311,Sonate In Een Grote K331,Sonata In A Major K331,Sonaatti Suuressa K331: Ssä,Sonate Dans Un Major K331,Sonata in a Major K331,एक प्रमुख K331 में सोनाटा,Sonata Di K331 Utama,Sonata in Un Importante K331,소나타 가단조,ピアノソナタ イ長調 K331,Sonata Dalam K331 Utama,Sonata I En StøRre K331,Sonata W GłóWnym K331,Sonata Em Um K331 Importante,Sonata Em Um K331 Importante,Соната ля мажор K331,Sonata en un Importante K331,Sonata I En Stor K331,Sonata ใน K331 ที่สำคัญ,BüYüK Bir K331'De Sonata,Sonata Trong MộT K331 LớN,
40,Hungarian Dance No.5,Hungarian Dance No.5,الرقصة الهنغارية No.5,匈牙利舞曲No.5,匈牙利舞曲No.5,Hongaarse Dans Nr. 5,Hungarian Dance No.5,Unkarin Tanssi Nro 5,Danse Hongroise N ° 5,Ungarischer Tanz Nr.5,हंगेरियन डांस नंबर 5,Tarian Hongaria No.5,Danza Ungherese N. 5,헝가리인의 춤 5번,ハンガリー舞曲 第5番,Tarian Hungary No.5,Ungarsk Dans Nr. 5,WęGierski Taniec Nr 5,DançA HúNgara No.5,DançA HúNgara No.5,Венгерский танец №5,Danza Húngara No.5,Ungerska Dans Nr.5,การเต้นรำครั้งที่ 5 ของฮังการี 5,Macar Dansı No.5,Vũ đIệU Hungary Số 5,
41,The Entertainer,The Entertainer,الفنان,演艺人,演藝人,De Entertainer,The Entertainer,ViihdyttäJä,L'Artiste,The Entertainer,मनोरंजन करने वाला,Penghibur,L'intrattenitore,엔터테이너,エンターテイナー,Penghibur,Underholderen,Artysta,O Artista,O Artista,Конферансье,El Animador,UnderhåLlaren,ผู้ให้ความบันเทิง,ŞOvmen,CáC Nghệ Sĩ GiảI Trí,
42,Santa Lucia,Santa Lucia,سانتا لوسيا,桑塔露琪娅,桑塔露琪婭,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,सांता लूसिया,Santa Lucia,Santa Lucia,산타 루치아,サンタルチア,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,Санта Лючия,Santa Lucía,Santa Lucia,ซานตาลูเซีย,Aziz Lucia,Santa Lucia,
43,Horse Racing,Horse Racing,سباق الخيل,赛马,賽馬,Paardenracen,Horse Racing,Kilparatsastus,Course De Chevaux,Horse Racing,घुड़दौड़,Pacuan Kuda,Corsa Di Cavalli,Horse Racing,二頭の馬の競走,Perlumbaan Kuda,HesteveddeløP,WyśCigi Konne,Corrida De Cavalo,Corrida De Cavalo,Лошадиные скачки,Las Carreras de Caballos,HäStkapplöPning,การแข่งม้า,At Yarışı,ĐUa NgựA,
44,American Patrol,American Patrol,دورية أمريكية,巡逻兵进行曲,巡邏兵進行曲,Amerikaanse Patrouille,American Patrol,Amerikkalainen Partio,Patrouille Américaine,American Patrol,अमेरिकी गश्त,Patroli Amerika,Pattuglia Americana,아메리칸 페트롤,アメリカン・パトロール,Patrol Amerika,Amerikansk Patrulje,AmerykańSki Patrol,Patrulha Americana,Patrulha Americana,Американский патруль,Patrulla Estadounidense,Amerikansk Patrull,ลาดตระเวนอเมริกัน,Amerikan Devriyesi,ĐộI TuầN Tra Mỹ,
45,Sonata No.34 - Finale,Sonata No.34 - Finale,سوناتا No.34 - خاتمة,海顿奏鸣曲No.34,海頓奏鳴曲No.34,Sonata No.34 - Finale,Sonata No.34 - Finale,Sonata No.34 - Finaali,Sonata N ° 34 - Finale,Sonata Nr.34 - Finale,सोनाटा नंबर 34 - फिनाले,Sonata No.34 - Finale,Sonata N. 34 - Finale,Sonata No. 34 - Finale,ピアノソナタ第34番 -最終楽章,Sonata No.34 - Akhir,Sonata No.34 - Finale,Sonata Nr 34 - Finał,Sonata No.34 - Finale,Sonata No.34 - Finale,Соната №34,Sonata No.34 - Final,Sonata No.34 - Finale,Sonata No.34 - ตอนจบ,Sonata No.34 - Final,Sonata No.34 - Chung KếT,
46,Polka,Polka,البولكا,波尔卡,波爾卡,Polka,Polka,Polkka,Polka,Polka,पोल्का,Polka,Polka,폴카,ポルカ,Polka,Polka,Polka,Polca,Polca,Полька,Polca,Polka,โพลก้า,Polka,Polka,
47,Minuet No.3,Minuet No.3,المينيويت No.3,小步舞曲No.3,小步舞曲No.3,Minuet Nr. 3,Minuet No.3,Minuet Nro 3,Minuet No.3,Menuett Nr.3,MINUET No.3,Minuet No.3,Minuet N. 3,Minuet No. 3,メヌエット 第3番,Minuet No.3,Minuet No.3,Minuet Nr 3,Minuet No.3,Minuet No.3,Менуэт №3,Minueto No.3,Minuet Nr 3,Minuet No.3,Minuet No.3,Minuet Số 3,
48,Radetzky March,Radetzky March,مسيرة راديتزكي,拉德斯基进行曲,拉德斯基進行曲,Radetzky Maart,Radetzky March,Radezky Maaliskuu,Radetzky March,Radetzky-Marsch,रेडेट्ज़की मार्च,March Radetzky,Radetzky March,Radetzky March,ラデツキー行進曲,Radetzky March,Radetzky Mars,Radetzky March,Radetzky MarçO,Radetzky MarçO,Марш Радецкого,Marcha Radetzky,Radetzky March,Radetzky March,Radetzky Mart,Radetzky March,
49,Carmen Overture,Carmen Overture,افتتاحية أوبرا كرمن,卡门序曲,卡門序曲,Carmen Overture,Carmen Overture,Carmenin Alkusoitto,Carmen Overture,Carmen Overture,कारमेन ओवरचर,Carmen Overture,Carmen Overture,Carmen Overture,カルメン 序曲,Carmen Overture,Carmen Overture,Uwertura Carmen,Carmen Overture,Carmen Overture,Кармен Увертюра,Obertura de Carmen,Carmen -Overture,คาร์เมนทาบทาม,Carmen Overture,Carmen Overture,
